"ID del Taxón* Requerido","Taxon ID Required","taxonID","required"
"ID del Nombre Científico","Scientific Name ID","scientificNameID","optional"
"ID del Nombre Aceptado en Uso","Accepted Name Usage ID","acceptedNameUsageID","optional"
"ID del Nombre Parental en Uso","Parent Name Usage ID","parentNameUsageID","optional"
"ID del Nombre Original en Uso","Original Name Usage ID","originalNameUsageID","optional"
"ID del Nombre de Acuerdo con","Name According To ID","nameAccordingToID","optional"
"ID del Nombre Publicado en","Name Published In ID","namePublishedInID","optional"
"ID del Concepto del Taxón","Taxon Concept ID","taxonConceptID","optional"
"Nombre Científico","Scientific Name","scientificName","optional"
"Nombre Aceptado en Uso","Accepted Name Usage","acceptedNameUsage","optional"
"Nombre Parental en Uso","Parent Name Usage","parentNameUsage","optional"
"Nombre Original en Uso","Original Name Usage","originalNameUsage","optional"
"Nombre de Acuerdo con","Name According To","nameAccordingTo","optional"
"Nombre Publicado en","Name Published In","namePublishedIn","optional"
"Nombre Publicado en el Año","Name Published In Year","namePublishedInYear","optional"
"Clasificación Superior","Higher Classification","higherClassification","optional"
"Reino","Kingdom","kingdom","optional"
"Filo","Phylum","phylum","optional"
"Clase","Class","class","optional"
"Orden","Order","order","optional"
"Familia","Family","family","optional"
"Género","Genus","genus","optional"
"Subgénero","Subgenus","subgenus","optional"
"Epíteto Específico","Specific Epithet","specificEpithet","optional"
"Epíteto Infraespecífico","Infraspecific Epithet","infraspecificEpithet","optional"
"Categoría del Taxón","Taxon Rank","taxonRank","optional"
"Categoría Original del Taxón","Verbatim Taxon Rank","verbatimTaxonRank","optional"
"Autoría del Nombre Científico","Scientific Name Authorship","scientificNameAuthorship","optional"
"Nombre Común","Vernacular Name","vernacularName","optional"
"Código Nomenclatural","Nomenclatural Code","nomenclaturalCode","optional"
"Estado Taxonómico","Taxonomic Status","taxonomicStatus","optional"
"Estado Nomenclatural","Nomenclatural Status","nomenclaturalStatus","optional"
"Comentarios del Taxón","Taxon Remarks","taxonRemarks","optional"
"Modificado","Modified","modified","optional"
"Lenguaje","Language","language","optional"
"Derechos","Rights","rights","optional"
"Poseedor de derechos","Rights Holder","rightsHolder","optional"
"Derechos de Acceso","Access Rights","accessRights","optional"
"Citación Bibliográfica","bibliographicCitation","bibliographicCitation","optional"
"Información Retenida","Information Withheld","informationWithheld","optional"
"ID del Conjunto de Datos","Dataset ID","datasetID","optional"
"Nombre del Conjunto de Datos","Dataset Name","datasetName","optional"
"Referencias","References","references","optional"
"Fuente","Source","source","optional"